time,voltage_level[V],width[percent],input[V],output[V]
12:39:41,1,20,+1.74551919E-01,+1.68269117E-02
12:39:43,1,20,+1.74514424E-01,+1.68241675E-02
12:39:45,1,20,+1.74513631E-01,+1.68272535E-02
12:39:47,1,20,+1.74535610E-01,+1.68255127E-02
12:39:49,1,20,+1.74516864E-01,+1.68271101E-02
12:39:51,1,20,+1.74550226E-01,+1.68255357E-02
12:39:53,1,20,+1.74536943E-01,+1.68257640E-02
12:39:55,1,20,+1.74538652E-01,+1.68236815E-02
12:39:57,1,20,+1.74520542E-01,+1.68250150E-02
12:39:59,1,20,+1.74526127E-01,+1.68221681E-02
12:40:01,1,20,+1.74488578E-01,+1.68222253E-02
12:40:03,1,20,+1.74483409E-01,+1.68215109E-02
12:40:05,1,20,+1.74491554E-01,+1.68233984E-02
12:40:07,1,20,+1.74504513E-01,+1.68223274E-02
12:40:09,1,20,+1.74509048E-01,+1.68223082E-02
12:40:11,1,20,+1.74510788E-01,+1.68211936E-02
12:40:13,1,20,+1.74531030E-01,+1.68213598E-02
12:40:15,1,20,+1.74500550E-01,+1.68265083E-02
12:40:17,1,20,+1.74521126E-01,+1.68288143E-02
12:40:19,1,20,+1.74598561E-01,+1.68329608E-02
12:40:21,1,20,+1.74604376E-01,+1.68319648E-02
12:40:23,1,20,+1.74548161E-01,+1.68317522E-02
12:40:25,1,20,+1.74546794E-01,+1.68295297E-02
12:40:27,1,20,+1.74582859E-01,+1.68280360E-02
12:40:29,1,20,+1.74560259E-01,+1.68298924E-02
12:40:31,1,20,+1.74550704E-01,+1.68279491E-02
12:40:33,1,20,+1.74482184E-01,+1.68250710E-02
12:40:35,1,20,+1.74520134E-01,+1.68244346E-02
12:40:37,1,20,+1.74535076E-01,+1.68277199E-02
12:40:39,1,20,+1.74503131E-01,+1.68208218E-02
12:40:41,1,20,+1.74458793E-01,+1.68197388E-02
12:40:43,1,20,+1.74477256E-01,+1.68231500E-02
12:40:45,1,20,+1.74485083E-01,+1.68243515E-02
12:40:47,1,20,+1.74529702E-01,+1.68232350E-02
12:40:49,1,20,+1.74499888E-01,+1.68227950E-02
12:40:51,1,20,+1.74500440E-01,+1.68234224E-02
12:40:53,1,20,+1.74507739E-01,+1.68237975E-02
12:40:55,1,20,+1.74484740E-01,+1.68248733E-02
12:40:57,1,20,+1.74504753E-01,+1.68258597E-02
12:40:59,1,20,+1.74510292E-01,+1.68207806E-02
12:41:01,1,20,+1.74473905E-01,+1.68220507E-02
12:41:03,1,20,+1.74470833E-01,+1.68208936E-02
12:41:05,1,20,+1.74475234E-01,+1.68211895E-02
12:41:07,1,20,+1.74474172E-01,+1.68216013E-02
12:41:09,1,20,+1.74500345E-01,+1.68224698E-02
12:41:11,1,20,+1.74463908E-01,+1.68144660E-02
12:41:13,1,20,+1.74446816E-01,+1.68198810E-02
12:41:15,1,20,+1.74451707E-01,+1.68173611E-02
12:41:17,1,20,+1.74449721E-01,+1.68193703E-02
12:41:19,1,20,+1.74443019E-01,+1.68175946E-02
12:41:21,1,20,+1.74474976E-01,+1.68195096E-02
12:41:23,1,20,+1.74453810E-01,+1.68159426E-02
12:41:25,1,20,+1.74444139E-01,+1.68205298E-02
12:41:27,1,20,+1.74479467E-01,+1.68214823E-02
12:41:29,1,20,+1.74448376E-01,+1.68179510E-02
12:41:31,1,20,+1.74508588E-01,+1.68231582E-02
12:41:33,1,20,+1.74510980E-01,+1.68254668E-02
12:41:35,1,20,+1.74538872E-01,+1.68242980E-02
12:41:37,1,20,+1.74536052E-01,+1.68263488E-02
12:41:39,1,20,+1.74493707E-01,+1.68249310E-02
12:41:41,1,20,+1.74514710E-01,+1.68221513E-02
12:41:43,1,20,+1.74474890E-01,+1.68220593E-02
12:41:45,1,20,+1.74441156E-01,+1.68185087E-02
12:41:47,1,20,+1.74443477E-01,+1.68177463E-02
12:41:49,1,20,+1.74470885E-01,+1.68229488E-02
12:41:51,1,20,+1.74505565E-01,+1.68216517E-02
12:41:53,1,20,+1.74522532E-01,+1.68256787E-02
12:41:55,1,20,+1.74543065E-01,+1.68242959E-02
12:41:57,1,20,+1.74561077E-01,+1.68245055E-02
12:41:59,1,20,+1.74502952E-01,+1.68240625E-02
12:42:01,1,20,+1.74513482E-01,+1.68257317E-02
12:42:03,1,20,+1.74537835E-01,+1.68263125E-02
