voltage_level[V],width[percent],input[V],output[V],std_input[V],std_output[V]
1.0,20.0,0.17450839112941172,0.1682385219411765,3.544283761930091e-05,3.486165787974679e-05
1.0,30.0,0.3053108588023256,0.2943281982906977,3.861298562517443e-05,3.7427846836303324e-05
1.0,40.0,0.4038728620232558,0.38933788416279075,5.198440566304525e-05,5.101893992299598e-05
1.0,50.0,0.4933139928255814,0.47557135636046505,7.246668022961745e-05,6.22048211041564e-05
1.0,60.0,0.5826572104069768,0.5617283240232559,6.904411271732953e-05,6.47798102771757e-05
1.0,70.0,0.6807452039186047,0.6564059062093023,0.0001324503941541868,0.00011276958082413304
1.0,80.0,0.8099647005000002,0.781517475627907,0.00012886309675692612,9.346371557042371e-05
2.0,20.0,0.3473982011046512,0.33490116618604654,6.755301527100559e-05,6.591511705627019e-05
2.0,30.0,0.6089369252906978,0.5870848665000001,5.161310698419172e-05,4.397432584731853e-05
2.0,40.0,0.805344136616279,0.7770356125813954,9.057062574955755e-05,5.461350082842917e-05
2.0,50.0,0.9825248456046513,0.9496488987209301,0.00023295446703423348,5.8400341725029875e-05
2.0,60.0,1.1641242382558141,1.1221737058139534,0.0005160422677760295,7.464300576629041e-05
2.0,70.0,1.3563419118604654,1.3117093617441862,0.00035375955414606024,7.992919248058239e-05
2.0,80.0,1.6178298724418605,1.5623548034883719,0.0002640837515162915,0.00011065972116464306
3.0,20.0,0.5201813823953488,0.5014730129767442,7.571387266146459e-05,7.58957246149867e-05
3.0,30.0,0.9110721451976742,0.8799738024302326,0.00018492838020432202,5.104725264518644e-05
3.0,40.0,1.2033979591860464,1.1650648736046512,0.00041190953272034615,6.215180910723501e-05
3.0,50.0,1.4737822917441863,1.4239977311627907,0.00015949217296518458,5.7818529343083284e-05
3.0,60.0,1.7432292656976742,1.6828773170930236,0.00022218577358731767,0.0001346078480210651
3.0,70.0,2.038700553488371,1.9672851501162791,0.0001690730113113628,8.030909457406312e-05
3.0,80.0,2.4290612037209303,2.3433448420930234,0.00018044371998117585,0.00012731769081965642
